2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:11, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:12, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:13, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
2024-07-28 09:24:14, DISTANCE = inf, DESIRED VELOCITY = 25.00
