2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:27, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:28, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:29, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:30, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:31, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:32, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:33, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:34, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:34, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:34, Distance: 0.00m, Desired Velocity: 0.00km/h
2024-07-28 09:16:34, Distance: 0.00m, Desired Velocity: 0.00km/h
